Employee_ID,Department,Position,Gender,Age,Hire_Date,Performance_Rating
1,Operations,Associate,Female,56,2019-05-28 20:50:14,4
2,Operations,Manager,Female,24,2010-11-21 11:11:55,3
3,Finance,Manager,Non-Binary,56,2014-04-09 12:28:45,4
4,Finance,Manager,Male,49,2016-02-17 00:20:34,3
5,Marketing,Manager,Male,29,2015-08-28 16:39:50,1
6,Marketing,Senior Associate,Male,38,2016-02-15 19:11:34,4
7,IT,Intern,Non-Binary,34,2010-12-21 08:02:37,1
8,Finance,Associate,Non-Binary,54,2016-07-13 10:15:29,4
9,Operations,Manager,Female,41,2021-05-28 01:38:00,1
10,Operations,Manager,Male,27,2015-10-22 05:20:37,2
11,IT,Senior Associate,Female,28,2012-12-17 08:02:07,3
12,Sales,Manager,Male,54,2014-11-05 06:10:39,3
13,Operations,Senior Associate,Female,49,2018-02-06 12:32:20,3
14,IT,Senior Associate,Non-Binary,57,2010-10-03 08:50:33,5
15,Finance,Senior Associate,Non-Binary,44,2019-03-14 03:16:47,2
16,Operations,Intern,Non-Binary,33,2018-07-31 12:54:32,4
17,Marketing,Associate,Female,31,2015-02-25 18:47:23,4
18,HR,Intern,Non-Binary,29,2015-06-07 14:22:14,1
19,Operations,Senior Associate,Female,40,2014-08-06 13:08:49,5
20,Finance,Manager,Male,40,2022-11-23 01:01:31,3
21,IT,Intern,Male,33,2020-07-21 09:27:14,2
22,Operations,Manager,Male,53,2020-08-30 20:13:44,4
23,IT,Senior Associate,Non-Binary,40,2015-06-11 11:44:53,1
24,Sales,Senior Associate,Female,37,2011-04-12 16:39:44,3
25,Sales,Intern,Male,56,2015-12-09 21:11:53,2
26,Marketing,Intern,Female,59,2010-05-04 02:35:04,5
27,Sales,Manager,Non-Binary,37,2017-08-21 00:10:09,2
28,IT,Senior Associate,Non-Binary,26,2020-08-03 01:58:33,1
29,Sales,Senior Associate,Female,52,2012-12-15 21:56:55,4
30,IT,Manager,Non-Binary,34,2016-02-09 01:18:14,5
31,Operations,Senior Associate,Male,44,2020-06-21 17:40:26,4
32,Finance,Intern,Male,49,2015-01-05 11:15:22,5
33,Marketing,Intern,Non-Binary,39,2021-10-26 02:53:37,2
34,IT,Intern,Non-Binary,42,2014-07-02 02:37:09,4
35,Marketing,Associate,Female,28,2018-05-10 17:38:01,3
36,Operations,Senior Associate,Female,30,2010-01-12 08:33:34,2
37,Marketing,Manager,Non-Binary,51,2017-07-31 05:14:08,5
38,IT,Intern,Male,44,2012-09-07 07:26:19,3
39,IT,Senior Associate,Non-Binary,54,2014-02-24 22:56:20,5
40,HR,Intern,Female,30,2015-11-30 19:28:00,2
41,Operations,Senior Associate,Non-Binary,26,2013-12-20 18:40:11,1
42,Operations,Manager,Female,51,2011-12-07 08:45:14,1
43,IT,Associate,Male,47,2020-11-25 20:19:34,2
44,Marketing,Intern,Male,52,2010-10-24 04:23:55,1
45,Finance,Intern,Female,42,2016-06-19 10:50:12,2
46,Sales,Intern,Female,41,2017-07-29 05:24:33,4
