Employee_ID,Termination_Date,Reason_for_Termination,Employee_Satisfaction_Score,Manager_Feedback_Score,Annual_Salary,Training_Hours_Last_Year,Termination_Year,Termination_Quarter
1,2022-09-18 13:58:53,Resignation,6,3.0,88935,24,2022.0,Q3
2,2022-12-02 20:00:21,Retirement,5,4.0,48960,24,2022.0,Q4
3,,,4,,84176,24,,
4,,Retirement,unknown,1.0,87823,9,,
5,,Resignation,8,6.0,79328,49,,
6,2018-11-13 00:08:23,Termination,3,3.0,100813,8,2018.0,Q4
7,2020-03-01 20:24:03,Resignation,6,,43935,45,2020.0,Q1
8,,Termination,6,2.0,77948,23,,
9,,Retirement,unknown,10.0,70207,1,,
10,2019-11-09 01:41:12,Retirement,4,4.0,118424,12,2019.0,Q4
11,2019-04-13 13:24:44,Resignation,unknown,1.0,84440,39,2019.0,Q2
12,,,3,2.0,96829,35,,
13,,Termination,8,6.0,41762,23,,
14,,Retirement,,,72439,33,,
15,,,7,3.0,102473,36,,
16,2023-06-14 09:53:01,Retirement,1,1.0,115121,13,2023.0,Q2
17,,Termination,3,3.0,99326,12,,
18,,Retirement,1,8.0,103533,24,,
19,2022-04-27 17:57:36,,10,9.0,53024,48,2022.0,Q2
20,,Resignation,1,8.0,102871,17,,
21,2021-07-06 12:07:03,Retirement,unknown,7.0,103688,15,2021.0,Q3
22,,,4,6.0,65466,44,,
23,,Termination,9,3.0,97269,39,,
24,,,7,2.0,88447,25,,
25,,,9,2.0,74627,27,,
26,2023-10-07 23:22:41,Termination,7,7.0,74230,0,2023.0,Q4
27,,Retirement,6,2.0,81515,0,,
28,2022-05-15 04:44:06,Resignation,10,4.0,94960,20,2022.0,Q2
29,,,unknown,2.0,68057,19,,
30,,Termination,3,10.0,96954,40,,
31,2021-09-20 00:54:29,Resignation,4,8.0,40914,48,2021.0,Q3
32,,Resignation,10,,40399,19,,
33,2022-12-15 22:50:57,Resignation,9,3.0,84671,19,2022.0,Q4
34,,Termination,6,5.0,85887,28,,
35,2021-11-18 22:57:22,,10,4.0,74611,48,2021.0,Q4
36,2021-02-16 18:37:24,,8,,84923,50,2021.0,Q1
37,2020-06-30 19:41:58,,,8.0,48828,5,2020.0,Q2
38,2023-09-26 22:43:19,Resignation,10,6.0,99650,7,2023.0,Q3
39,2021-10-02 21:34:53,Retirement,9,,92204,34,2021.0,Q4
40,2021-05-03 18:09:53,Resignation,6,8.0,106048,39,2021.0,Q2
41,2017-09-20 14:24:46,Termination,unknown,4.0,119306,34,2017.0,Q3
42,,,,,111989,3,,
43,2022-04-04 23:41:27,Termination,1,3.0,106635,37,2022.0,Q2
44,,Termination,10,7.0,72806,30,,
45,2021-09-07 10:34:02,Termination,4,3.0,72317,12,2021.0,Q3
46,2023-11-12 10:21:42,Retirement,4,6.0,64694,36,2023.0,Q4
47,2017-09-18 06:09:12,Termination,7,10.0,119112,13,2017.0,Q3
48,2021-09-11 05:45:30,Retirement,5,2.0,52514,49,2021.0,Q3
49,2021-02-11 08:04:37,Resignation,,,99004,18,2021.0,Q1
50,2019-01-01 12:56:30,Termination,5,9.0,88710,33,2019.0,Q1
51,,Resignation,7,2.0,110134,49,,
52,,Termination,8,10.0,90417,33,,
53,2022-09-03 09:28:28,Termination,3,2.0,60103,5,2022.0,Q3
54,2010-12-23 18:13:48,,9,7.0,113285,22,2010.0,Q4
55,,Resignation,10,1.0,66553,34,,
56,2014-08-10 05:17:30,Termination,7,9.0,113255,15,2014.0,Q3
57,,Retirement,,5.0,68100,31,,
58,2022-08-02 13:40:33,,10,9.0,110906,30,2022.0,Q3
59,2014-08-30 16:22:42,Termination,,3.0,109758,17,2014.0,Q3
60,,Termination,8,5.0,106866,9,,
61,,Termination,2,9.0,61192,29,,
62,,Retirement,,7.0,85834,14,,
63,,Resignation,8,10.0,107285,5,,
64,2019-05-24 12:16:37,Resignation,unknown,2.0,113501,46,2019.0,Q2
65,2020-06-08 01:16:00,Retirement,6,,116791,48,2020.0,Q2
66,,,3,8.0,69365,24,,
67,2023-08-26 22:37:48,Resignation,,8.0,66768,29,2023.0,Q3
68,2021-05-30 18:30:25,Termination,6,7.0,102651,12,2021.0,Q2
69,,Retirement,1,1.0,104940,0,,
70,,Termination,unknown,2.0,55913,27,,
71,,,1,7.0,61047,7,,
72,2020-02-02 22:49:39,Retirement,4,1.0,54578,7,2020.0,Q1
73,,,2,,113651,45,,
74,,Retirement,2,,63585,16,,
75,2023-09-16 16:51:47,,3,5.0,114765,36,2023.0,Q3
76,,Retirement,5,8.0,61780,21,,
77,,,3,7.0,102182,24,,
78,,Retirement,3,1.0,76902,6,,
79,,,1,4.0,80053,4,,
80,,,,7.0,102031,13,,
81,2022-11-16 01:06:08,Termination,,6.0,42300,42,2022.0,Q4
82,,Resignation,unknown,8.0,65623,44,,
83,2023-02-01 15:31:16,Retirement,5,,69934,48,2023.0,Q1
84,2022-05-28 09:51:56,Retirement,5,,91246,23,2022.0,Q2
85,,Resignation,4,1.0,53800,3,,
86,,Termination,6,2.0,110153,25,,
87,2023-12-03 16:40:42,,3,8.0,100098,14,2023.0,Q4
88,,,9,2.0,84726,37,,
89,,,unknown,5.0,67110,8,,
90,,,4,5.0,46327,6,,
91,,Resignation,8,3.0,50970,7,,
92,,Termination,9,4.0,57226,28,,
93,,Retirement,10,2.0,87512,27,,
94,,Retirement,unknown,10.0,56754,37,,
95,,Termination,6,9.0,66021,45,,
96,,Retirement,4,8.0,46536,49,,
97,2021-01-05 10:41:49,Retirement,1,6.0,66389,20,2021.0,Q1
98,,,,,112987,50,,
99,2018-09-06 20:09:11,Resignation,9,4.0,42194,30,2018.0,Q3
100,,Termination,8,10.0,79930,18,,
101,,Retirement,6,2.0,42004,38,,
102,,,1,2.0,47170,16,,
103,2020-03-07 06:35:01,Termination,2,10.0,44525,50,2020.0,Q1
104,2019-10-29 13:06:17,Retirement,10,1.0,109723,43,2019.0,Q4
105,2022-11-26 15:03:48,,5,1.0,71276,22,2022.0,Q4
106,2023-02-27 09:49:52,Resignation,7,7.0,46909,1,2023.0,Q1
107,2023-10-17 22:59:54,,5,10.0,41571,46,2023.0,Q4
108,2019-09-17 00:19:30,,1,,63296,47,2019.0,Q3
109,2022-09-03 17:37:14,Termination,4,6.0,78926,41,2022.0,Q3
110,2023-03-28 18:03:57,Termination,,5.0,74578,2,2023.0,Q1
111,2023-11-28 14:41:18,,10,4.0,80246,21,2023.0,Q4
112,2022-01-23 16:33:21,Termination,8,,50091,26,2022.0,Q1
113,,,4,6.0,108709,28,,
114,2022-09-08 20:27:36,,9,6.0,52402,47,2022.0,Q3
115,,Resignation,8,10.0,53807,1,,
116,,Retirement,unknown,6.0,105857,6,,
117,,,5,8.0,47821,19,,
118,2020-10-03 08:46:26,,8,9.0,69688,40,2020.0,Q4
119,,,10,4.0,117695,14,,
120,,Retirement,2,6.0,94560,22,,
121,,Retirement,7,3.0,94362,10,,
122,,Retirement,,2.0,83165,16,,
123,,Resignation,1,9.0,78323,16,,
124,,Termination,8,8.0,82069,11,,
125,2023-08-06 01:47:21,Retirement,1,6.0,110533,11,2023.0,Q3
126,2022-08-29 05:05:47,Retirement,4,4.0,107371,48,2022.0,Q3
127,,,5,7.0,75308,5,,
128,,Retirement,10,9.0,40104,34,,
129,,Retirement,10,3.0,61037,37,,
130,2016-12-21 14:16:26,,10,9.0,71279,43,2016.0,Q4
131,2012-02-18 12:02:42,,4,3.0,76658,33,2012.0,Q1
